P avg [W];Q avg [VAr]
171737;131603,7
187302,2;140633,3
194241,5;145544,6
184777,6;139381,1
197774,4;141960,2
197481,6;141148
193956,5;139060,7
199609,6;142839,1
198717,1;142457,4
194747,9;140838,3
216738,6;153442,3
214306,3;151376
219098,6;154581,1
245800,7;180821,3
243822,6;177426,4
310034,7;229018,2
318849,3;233500,4
326143,6;240069,1
351471,8;256038,1
372019,8;265799,4
366751,7;254114
376398,1;265000
370302,2;256960,6
378562,1;258583,8
379589;263378
393659;276186,1
402934,1;286690,8
419260,7;300770,5
417031,3;291055,3
424444,8;296447,4
420396,5;292724,9
428195,8;294723,1
418254,6;290961,4
429511,7;293567,5
417221,6;286505,5
428449,5;292628,7
419516,9;292455,3
423505,8;293923,6
436255,1;298270,8
430008,9;296219,2
440250;300084,4
438097,9;298757,3
295846,1;221835,9
289276,2;237350,6
227393,9;184873,9
224219,8;187177,9
228174;188709,9
221036,3;186939,3
218748,9;184884,2
223762,8;186888,2
230483,3;189753
232577,2;189932,4
227672,7;187681,7
230046,1;189348,2
223336;187942,8
227846,6;189537,9
229298,3;185513,5
225999,2;186173,6
224558,5;187203,5
212080,7;187623,2
119500,8;118624,1
97764,2;106615
95756,46;104268,8
102087;106503,7
98757,28;105271,7
102240,5;108601,3
98139,63;110080
98438,45;103352,8
96773,86;107191,5
84507,05;100062,7
81547,74;97948,85
79714,38;98203,23
66458,17;90645,05
79005,09;94490,25
177313,5;140084,1
206721,2;154338
225320,5;164459,4
224138,4;165730,8
223307,8;164634,5
221641,3;163899,1
222480,2;164417,9
221752,3;169236,1
214668,4;164662,6
214372,5;164325
214034,5;162320,4
218713,4;165143,1
220559,1;165727,1
223101,3;168088,3
214219,7;164827,8
222223,5;168601,9
221181,2;168489,6
213950,4;165280,8
222510;168529,2
212587,4;165171,8
204054,3;162425,8
207978,2;166738,7
197073,5;161519,8
188477,3;155234,8
205705,2;165140,3
205890,2;164507
209957,1;162214,8
212611,8;161111,3
210329,6;159383,5
214970,6;162180,3
210429,3;160100,6
213342,4;161459,7
210166,1;161640,6
196479,5;152436,9
193923,3;150814,2
191710,7;148118
217201,6;185130,4
281316,2;229257,4
290098,7;234678,2
281177,1;231250,5
296341,3;232769,2
330462,3;254920,5
341555,7;267803
370879,3;278512,5
371320,1;277082,8
371299;275870,8
371624,3;276028,2
380074;279314,2
374531,9;278355,8
369128,2;276151
376739;279628,4
374963,3;277070,2
363792;280022,5
361908,7;276898,5
364850,3;280553,2
359038,1;278133,6
361496,3;281007,5
360555,3;278487,8
357938,7;278135,7
346874,7;275251
354125,4;273937,4
354824,7;272891,9
362968,9;275852
355557,9;271369,1
352704,7;267475,8
341351,6;260414,5
342924,3;263259,9
378315,9;276465,2
383195,1;277087,4
380841,7;279259,8
